Name,Confidence,Brightness,FaceArea,EyesDistance,MouthDistance,EyesOpen,Eyeglass,Gender,Moustache,Beard,Sharpness,MatchScore
S01_1001.pgm,0,0,0,0,0,,,0,0,0,320.455946,0.242
S01_1005.pgm,0,0,0,0,0,,,0,0,0,346.8442958,0.148
S01_1006.pgm,0,0,0,0,0,,,0,0,0,379.5921331,0.13
S01_1007.pgm,0,0,0,0,0,,,0,0,0,430.8951574,0.179
S01_1011.pgm,0,0,0,0,0,,,0,0,0,529.0537764,0.185
S01_1012.pgm,0,0,0,0,0,,,0,0,0,519.9902208,0.229
S01_1018.pgm,0,0,0,0,0,,,0,0,0,129.4424098,1.557
S01_1019.pgm,0,0,0,0,0,,,0,0,0,155.9860817,0.833
S01_1020.pgm,0,0,0,0,0,,,0,0,0,173.6637001,1.13
S01_1021.pgm,0,0,0,0,0,,,0,0,0,172.7865702,1.328
S01_1023.pgm,0,0,0,0,0,,,0,0,0,199.7716216,2.227
S01_1024.pgm,0,0,0,0,0,,,0,0,0,216.171159,1.257
S01_1025.pgm,0,0,0,0,0,,,0,0,0,209.5186541,1.458
S01_1027.pgm,0,0,0,0,0,,,0,0,0,153.9185347,3
S01_1028.pgm,0,0,0,0,0,,,0,0,0,169.9117556,3
S01_103.pgm,99.97453308,28.75928497,0.735086416,0.309363579,0.220610792,1,1,0,0,0,153.3027947,3
S01_1030.pgm,0,0,0,0,0,,,0,0,0,112.7791611,3
S01_1031.pgm,0,0,0,0,0,,,0,0,0,124.7676119,3
S01_1032.pgm,0,0,0,0,0,,,0,0,0,131.7906731,1.447
S01_1033.pgm,0,0,0,0,0,,,0,0,0,136.8796315,3
S01_1034.pgm,0,0,0,0,0,,,0,0,0,242.7489119,3
S01_1035.pgm,0,0,0,0,0,,,0,0,0,124.5907988,3
S01_1036.pgm,0,0,0,0,0,,,0,0,0,67.1616078,3
S01_1037.pgm,0,0,0,0,0,,,0,0,0,70.8475541,3
S01_1038.pgm,0,0,0,0,0,,,0,0,0,69.52666444,3
S01_1039.pgm,0,0,0,0,0,,,0,0,0,128.2751209,3
S01_1040.pgm,0,0,0,0,0,,,0,0,0,108.6188737,1.341
S01_1041.pgm,0,0,0,0,0,,,0,0,0,118.2727593,3
S01_1042.pgm,0,0,0,0,0,,,0,0,0,91.70732624,3
