,Name,MatchScore
0,S01_1.pgm,0.738
0,S01_2.pgm,0.983
0,S01_3.pgm,0.73
0,S01_4.pgm,0.728
0,S01_5.pgm,0.477
0,S01_6.pgm,0.912
0,S01_7.pgm,0.334
0,S01_8.pgm,0.626
0,S01_9.pgm,0.45
0,S01_10.pgm,0.258
0,S01_11.pgm,0.165
0,S01_12.pgm,0.194
0,S01_13.pgm,0.183
0,S01_14.pgm,0.414
0,S01_15.pgm,0.123
0,S01_16.pgm,0.162
0,S01_17.pgm,0.242
0,S01_18.pgm,0.16
0,S01_19.pgm,0.195
0,S01_20.pgm,0.171
0,S01_21.pgm,0.194
0,S01_22.pgm,0.067
0,S01_23.pgm,0.077
0,S01_24.pgm,0.089
0,S01_25.pgm,0.061
0,S01_26.pgm,0.077
0,S01_27.pgm,0.075
0,S01_28.pgm,0.083
0,S01_29.pgm,0.08
0,S01_30.pgm,0.086
0,S01_31.pgm,0.054
0,S01_32.pgm,0.077
0,S01_33.pgm,0.044
0,S01_34.pgm,0.018
0,S01_35.pgm,0.032
0,S01_36.pgm,0.053
0,S01_37.pgm,0.029
0,S01_38.pgm,0
0,S01_39.pgm,0.017
0,S01_40.pgm,0.025
0,S01_41.pgm,0.037
0,S01_42.pgm,0.051
0,S01_43.pgm,0.051
0,S01_44.pgm,0.063
0,S01_45.pgm,0.106
0,S01_46.pgm,100
0,S01_47.pgm,0.645
0,S01_48.pgm,0.72
0,S01_49.pgm,0.841
0,S01_50.pgm,0.598
0,S01_51.pgm,0.603
0,S01_52.pgm,0.608
0,S01_53.pgm,0.575
0,S01_54.pgm,0.348
0,S01_55.pgm,0.333
0,S01_56.pgm,0.265
0,S01_57.pgm,0.413
0,S01_58.pgm,0.308
0,S01_59.pgm,0.212
0,S01_60.pgm,0.136
0,S01_61.pgm,0.226
0,S01_62.pgm,0.136
0,S01_63.pgm,0.088
0,S01_64.pgm,0.149
0,S01_65.pgm,0.137
0,S01_66.pgm,0.237
0,S01_67.pgm,0.141
0,S01_68.pgm,0.089
0,S01_69.pgm,0.12
0,S01_70.pgm,0.133
0,S01_71.pgm,0.087
0,S01_72.pgm,0.065
0,S01_73.pgm,0.119
0,S01_74.pgm,0.104
0,S01_75.pgm,0.095
0,S01_76.pgm,0.055
0,S01_77.pgm,0.076
0,S01_78.pgm,0.055
0,S01_79.pgm,0.075
0,S01_80.pgm,0.067
0,S01_81.pgm,0.071
0,S01_82.pgm,0.08
0,S01_83.pgm,0.051
0,S01_84.pgm,0.055
0,S01_85.pgm,0.059
0,S01_86.pgm,0.052
0,S01_87.pgm,0.055
0,S01_88.pgm,0.099
0,S01_89.pgm,0.097
0,S01_90.pgm,0.101
0,S01_91.pgm,0.124
0,S01_92.pgm,0.122
0,S01_93.pgm,0.13
0,S01_94.pgm,0.194
0,S01_95.pgm,0.522
0,S01_96.pgm,0.551
0,S01_97.pgm,0.611
0,S01_98.pgm,0.528
0,S01_99.pgm,0.841
0,S01_100.pgm,0.606
0,S01_101.pgm,0.704
0,S01_102.pgm,0.731
0,S01_103.pgm,1.028
0,S01_104.pgm,0.789
0,S01_105.pgm,0.882
0,S01_106.pgm,1.238
0,S01_107.pgm,1.27
0,S01_108.pgm,1.183
0,S01_109.pgm,1.037
0,S01_110.pgm,1.002
0,S01_111.pgm,1.019
0,S01_112.pgm,1.182
0,S01_113.pgm,0.674
0,S01_114.pgm,1.096
0,S01_115.pgm,1.145
0,S01_116.pgm,1.022
0,S01_117.pgm,0.802
0,S01_118.pgm,0.839
0,S01_119.pgm,0.35
0,S01_120.pgm,0.298
0,S01_121.pgm,0.377
0,S01_122.pgm,0.237
0,S01_123.pgm,0.444
0,S01_124.pgm,0.764
0,S01_125.pgm,0.507
0,S01_126.pgm,100
0,S01_127.pgm,0.361
0,S01_128.pgm,0.667
0,S01_129.pgm,0.239
0,S01_130.pgm,0.485
0,S01_131.pgm,0.278
0,S01_132.pgm,0.297
0,S01_133.pgm,0.237
0,S01_134.pgm,0.193
0,S01_135.pgm,0.136
0,S01_136.pgm,0.123
0,S01_137.pgm,0.196
0,S01_138.pgm,0.132
0,S01_139.pgm,0.107
0,S01_140.pgm,0.171
0,S01_141.pgm,0.17
0,S01_142.pgm,0.178
0,S01_143.pgm,0.178
0,S01_144.pgm,0.115
0,S01_145.pgm,0.168
0,S01_146.pgm,0.086
0,S01_147.pgm,0.196
0,S01_148.pgm,0.104
0,S01_149.pgm,0.175
0,S01_150.pgm,0.136
0,S01_151.pgm,100
0,S01_152.pgm,0.155
0,S01_153.pgm,0.136
0,S01_154.pgm,0.12
0,S01_155.pgm,0.166
0,S01_156.pgm,0.214
0,S01_157.pgm,0.243
0,S01_158.pgm,0.251
0,S01_159.pgm,100
0,S01_160.pgm,100
0,S01_161.pgm,0.742
0,S01_162.pgm,0.788
0,S01_163.pgm,1.211
0,S01_164.pgm,0.812
0,S01_165.pgm,0.708
0,S01_166.pgm,0.502
0,S01_167.pgm,0.312
0,S01_168.pgm,0.275
0,S01_169.pgm,0.279
0,S01_170.pgm,0.699
0,S01_171.pgm,0.312
0,S01_172.pgm,0.12
0,S01_173.pgm,0.12
0,S01_174.pgm,0.133
0,S01_175.pgm,0.122
0,S01_176.pgm,0.081
0,S01_177.pgm,0.129
