,Face1,Face2,MatchScore
0,S01_1.pgm,S02_1.pgm,100
0,S01_1.pgm,S03_1.pgm,0.743
0,S01_1.pgm,S04_1.pgm,100
0,S01_1.pgm,S05_1.pgm,100
0,S01_1.pgm,S06_1.pgm,1.06
0,S01_1.pgm,S07_1.pgm,1.356
0,S01_1.pgm,S09_1.pgm,1.558
0,S01_1.pgm,S10_1.pgm,1.381
0,S01_1.pgm,S11_1.pgm,1.454
0,S01_1.pgm,S12_1.pgm,1.153
0,S01_1.pgm,S13_1.pgm,100
0,S01_1.pgm,S14_1.pgm,100
0,S01_1.pgm,S15_1.pgm,100
0,S01_1.pgm,S16_1.pgm,100
0,S01_1.pgm,S17_1.pgm,100
0,S01_1.pgm,S18_1.pgm,1.595
0,S01_1.pgm,S19_1.pgm,1.261
0,S01_1.pgm,S20_1.pgm,1.032
0,S01_1.pgm,S21_1.pgm,0.866
0,S01_1.pgm,S22_1.pgm,1.403
0,S01_1.pgm,S23_1.pgm,100
0,S01_1.pgm,S24_1.pgm,1.152
0,S01_1.pgm,S25_1.pgm,1.196
0,S01_1.pgm,S26_1.pgm,100
0,S01_1.pgm,S27_1.pgm,100
0,S01_1.pgm,S28_1.pgm,0.987
0,S01_1.pgm,S29_1.pgm,100
0,S01_1.pgm,S30_1.pgm,100
0,S02_1.pgm,S03_1.pgm,100
0,S02_1.pgm,S04_1.pgm,100
0,S02_1.pgm,S05_1.pgm,100
0,S02_1.pgm,S06_1.pgm,100
0,S02_1.pgm,S07_1.pgm,100
0,S02_1.pgm,S09_1.pgm,100
0,S02_1.pgm,S10_1.pgm,100
0,S02_1.pgm,S11_1.pgm,100
0,S02_1.pgm,S12_1.pgm,100
0,S02_1.pgm,S13_1.pgm,100
0,S02_1.pgm,S14_1.pgm,100
0,S02_1.pgm,S15_1.pgm,100
0,S02_1.pgm,S16_1.pgm,100
0,S02_1.pgm,S17_1.pgm,100
0,S02_1.pgm,S18_1.pgm,100
0,S02_1.pgm,S19_1.pgm,100
0,S02_1.pgm,S20_1.pgm,100
0,S02_1.pgm,S21_1.pgm,100
0,S02_1.pgm,S22_1.pgm,100
0,S02_1.pgm,S23_1.pgm,100
0,S02_1.pgm,S24_1.pgm,100
0,S02_1.pgm,S25_1.pgm,100
0,S02_1.pgm,S26_1.pgm,100
0,S02_1.pgm,S27_1.pgm,100
0,S02_1.pgm,S28_1.pgm,100
0,S02_1.pgm,S29_1.pgm,100
0,S02_1.pgm,S30_1.pgm,100
0,S03_1.pgm,S04_1.pgm,100
0,S03_1.pgm,S05_1.pgm,100
0,S03_1.pgm,S06_1.pgm,1.298
0,S03_1.pgm,S07_1.pgm,1.439
0,S03_1.pgm,S09_1.pgm,1.166
0,S03_1.pgm,S10_1.pgm,1.804
0,S03_1.pgm,S11_1.pgm,1.492
0,S03_1.pgm,S12_1.pgm,0.538
0,S03_1.pgm,S13_1.pgm,100
0,S03_1.pgm,S14_1.pgm,100
0,S03_1.pgm,S15_1.pgm,100
0,S03_1.pgm,S16_1.pgm,100
0,S03_1.pgm,S17_1.pgm,100
0,S03_1.pgm,S18_1.pgm,0.777
0,S03_1.pgm,S19_1.pgm,0.97
0,S03_1.pgm,S20_1.pgm,1.576
0,S03_1.pgm,S21_1.pgm,0.684
0,S03_1.pgm,S22_1.pgm,0.965
0,S03_1.pgm,S23_1.pgm,100
0,S03_1.pgm,S24_1.pgm,0.631
0,S03_1.pgm,S25_1.pgm,1.254
0,S03_1.pgm,S26_1.pgm,100
0,S03_1.pgm,S27_1.pgm,100
0,S03_1.pgm,S28_1.pgm,0.947
0,S03_1.pgm,S29_1.pgm,100
0,S03_1.pgm,S30_1.pgm,100
0,S04_1.pgm,S05_1.pgm,100
0,S04_1.pgm,S06_1.pgm,100
0,S04_1.pgm,S07_1.pgm,100
0,S04_1.pgm,S09_1.pgm,100
0,S04_1.pgm,S10_1.pgm,100
0,S04_1.pgm,S11_1.pgm,100
0,S04_1.pgm,S12_1.pgm,100
0,S04_1.pgm,S13_1.pgm,100
0,S04_1.pgm,S14_1.pgm,100
0,S04_1.pgm,S15_1.pgm,100
0,S04_1.pgm,S16_1.pgm,100
0,S04_1.pgm,S17_1.pgm,100
0,S04_1.pgm,S18_1.pgm,100
0,S04_1.pgm,S19_1.pgm,100
0,S04_1.pgm,S20_1.pgm,100
0,S04_1.pgm,S21_1.pgm,100
0,S04_1.pgm,S22_1.pgm,100
0,S04_1.pgm,S23_1.pgm,100
0,S04_1.pgm,S24_1.pgm,100
0,S04_1.pgm,S25_1.pgm,100
0,S04_1.pgm,S26_1.pgm,100
0,S04_1.pgm,S27_1.pgm,100
0,S04_1.pgm,S28_1.pgm,100
0,S04_1.pgm,S29_1.pgm,100
0,S04_1.pgm,S30_1.pgm,100
0,S05_1.pgm,S06_1.pgm,100
0,S05_1.pgm,S07_1.pgm,100
0,S05_1.pgm,S09_1.pgm,100
0,S05_1.pgm,S10_1.pgm,100
0,S05_1.pgm,S11_1.pgm,100
0,S05_1.pgm,S12_1.pgm,100
0,S05_1.pgm,S13_1.pgm,100
0,S05_1.pgm,S14_1.pgm,100
0,S05_1.pgm,S15_1.pgm,100
0,S05_1.pgm,S16_1.pgm,100
0,S05_1.pgm,S17_1.pgm,100
0,S05_1.pgm,S18_1.pgm,100
0,S05_1.pgm,S19_1.pgm,100
0,S05_1.pgm,S20_1.pgm,100
0,S05_1.pgm,S21_1.pgm,100
0,S05_1.pgm,S22_1.pgm,100
0,S05_1.pgm,S23_1.pgm,100
0,S05_1.pgm,S24_1.pgm,100
0,S05_1.pgm,S25_1.pgm,100
0,S05_1.pgm,S26_1.pgm,100
0,S05_1.pgm,S27_1.pgm,100
0,S05_1.pgm,S28_1.pgm,100
0,S05_1.pgm,S29_1.pgm,100
0,S05_1.pgm,S30_1.pgm,100
0,S06_1.pgm,S07_1.pgm,0.756
0,S06_1.pgm,S09_1.pgm,1.756
0,S06_1.pgm,S10_1.pgm,1.032
0,S06_1.pgm,S11_1.pgm,1.311
0,S06_1.pgm,S12_1.pgm,1.31
0,S06_1.pgm,S13_1.pgm,100
0,S06_1.pgm,S14_1.pgm,100
0,S06_1.pgm,S15_1.pgm,100
0,S06_1.pgm,S16_1.pgm,100
0,S06_1.pgm,S17_1.pgm,100
0,S06_1.pgm,S18_1.pgm,1.305
0,S06_1.pgm,S19_1.pgm,1.108
0,S06_1.pgm,S20_1.pgm,0.962
0,S06_1.pgm,S21_1.pgm,0.984
0,S06_1.pgm,S22_1.pgm,1.724
0,S06_1.pgm,S23_1.pgm,100
0,S06_1.pgm,S24_1.pgm,1.059
0,S06_1.pgm,S25_1.pgm,1.764
0,S06_1.pgm,S26_1.pgm,100
0,S06_1.pgm,S27_1.pgm,100
0,S06_1.pgm,S28_1.pgm,1.673
0,S06_1.pgm,S29_1.pgm,100
0,S06_1.pgm,S30_1.pgm,100
0,S07_1.pgm,S09_1.pgm,1.697
0,S07_1.pgm,S10_1.pgm,0.784
0,S07_1.pgm,S11_1.pgm,1.393
0,S07_1.pgm,S12_1.pgm,1.367
0,S07_1.pgm,S13_1.pgm,100
0,S07_1.pgm,S14_1.pgm,100
0,S07_1.pgm,S15_1.pgm,100
0,S07_1.pgm,S16_1.pgm,100
0,S07_1.pgm,S17_1.pgm,100
0,S07_1.pgm,S18_1.pgm,1.384
0,S07_1.pgm,S19_1.pgm,0.647
0,S07_1.pgm,S20_1.pgm,0.97
0,S07_1.pgm,S21_1.pgm,1.259
0,S07_1.pgm,S22_1.pgm,1.804
0,S07_1.pgm,S23_1.pgm,100
0,S07_1.pgm,S24_1.pgm,0.939
0,S07_1.pgm,S25_1.pgm,1.963
0,S07_1.pgm,S26_1.pgm,100
0,S07_1.pgm,S27_1.pgm,100
0,S07_1.pgm,S28_1.pgm,1.951
0,S07_1.pgm,S29_1.pgm,100
0,S07_1.pgm,S30_1.pgm,100
0,S09_1.pgm,S10_1.pgm,1.997
0,S09_1.pgm,S11_1.pgm,1.574
0,S09_1.pgm,S12_1.pgm,0.855
0,S09_1.pgm,S13_1.pgm,100
0,S09_1.pgm,S14_1.pgm,100
0,S09_1.pgm,S15_1.pgm,100
0,S09_1.pgm,S16_1.pgm,100
0,S09_1.pgm,S17_1.pgm,100
0,S09_1.pgm,S18_1.pgm,0.949
0,S09_1.pgm,S19_1.pgm,1.419
0,S09_1.pgm,S20_1.pgm,2.583
0,S09_1.pgm,S21_1.pgm,1.027
0,S09_1.pgm,S22_1.pgm,0.127
0,S09_1.pgm,S23_1.pgm,100
